Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
just got back from the dew tour! got to chill with ryan sheckler and a bunch more pro skaters,6,6,5,4
says Do you remember the good old days back in the 18 hundreds? When you and the neighborhood rowdies used to romp around the yard kicking an old piece of rope. Times may have changed but old man Tran hasn't,6,5,3,1
Thanks for all the birthday love!!!!!,7,6,7,8
"is enjoying my last day of leave :(... Working on my new song before I get back to morrow to sort out Project Awards, Photo Competition Bridge Building and writing my new article for CE magazine...",5,4,2,4
Like         this status & I'll answer it honestly 1. When did I meet you? 2. Do         you mean alot to me? 3.What do I think of you? 4. Have I ever gotten         mad at you? 5. Are you nice or mean? 6. WouldI care if I lost you? 7.         Would I date you? 8. Have I ever had a crush on you? 9. Do I enjoy being         your friend? 10. Do I... miss yo...u? 11. Do I love your hugs? 12. Do I like your smile?,5,5,1,1
In St.Maarten there is no phone service on this island!!!!!! But its fun :),6,6,6,8
i like it on your moms bed,5,5,1,1
Thanks to all for your birthday wishes....xxxxx,6,7,3,2
02/18/2001 A day all NASCAR fans will remember R.I.P. <PERSON> We will miss you.,4,4,1,1
i need a massage......,5,5,1,3
went to juniper last night had a good time with the jeep. got rained on and was soaked when I got home,6,6,2,1
It's going to be a long day tomorrow....,5,5,1,3
"the wedsite asks what is on my mind. there is nothing on my mind, just in it. silly website",5,5,1,1
will this yr ever end.   Lord knows.  hopefully something will happed for the good of all of us. Lets keep smiles and uplifting spirits and maybe it will turn out for the best for all,6,6,2,1
feels so happy! Wouldn't care if I died right now :),6,8,5,5
"so happy, just got my truck earlier this afternoon, taking my driving test in the morning. finally 16 now that it's june 10th. =)",6,7,5,2
"About to get on the road back to Ocala, Thank GOD for giving me the strength....        Because this 6 days a week traveling back n forth is crazzzzzy !        And to alll my FB friends i want to see yall in church tommorow especially u TRINA, U need it the most.",6,4,5,3
why cant this all just end and go away!! its not worth all the tears,4,1,6,6
Had a great day at training today and looking forward to the next and then a busy night and then its FRIDAY!!! Ok so nothing really cool planned but still.,6,7,4,7
Be Who You Are and Say What You Feel Because Those Who Mind Don't Matter and Those Who Matter Don't Mind. -- Dr. Seuss,6,6,1,1
"GO KARTING\ what a blast it was!!!!! Rocking sunday....:)\""""",7,8,7,9
"I might not be pretty or sexy, not have the perfect body or be beautiful.. I might not be anyones 1st choice either.. But.. IM ME! I dont pretend to be somebody else.. Copy this and post it to your profile if you live your life being you and you are proud of it Ã¢â„¢Â¥ Ã¢â„¢Â¥",7,6,4,4
"The weak can never forgive. Forgiveness is the attribute of the strong......\\""""",5,5,1,3
It takes 7 secs for food to pass from mouth to stomach. A human hair can hold 3 kg. The length of a penis is 3 times the length of the thumb. The femur is as hard as concrete. A woman's heart beats faster than a man's. Women blink twice as much as men. We use 300 muscles just to keep our balance when we stand. The woman has read this entire text. The man is still looking at his thumb. Repost if this made you smile!,5,6,3,4
"Cus you thought you'd win, 	but I'd knew you'd lose, 	Honey, I'm flyer than altitude cruise,",5,5,1,1
"What's important in this life is to crush your enemies, see them driven before you and hearing the lamentations of their women.",4,3,2,1
Crisis! I have run out of Marmite!!!! :-(,5,4,6,7
All this alcohol and no one to drink it with,4,3,1,1
who in the world is Mouhamed Ali Mido?????? hes kinda creepy,4,4,5,5
The best part of 'Kites' was the trailer of 'I Hate Luv Storys'...................... Want my money back  :-(,4,4,3,3
Good game guys! We finally won by more then one goal and it put us in the semis :),6,7,5,4
"must be mad ta get up at. 5 in the morning on my day of to go fishing ,,,,",5,5,3,3
Damn it's hot!!!,5,4,6,7
"Oh my goodness!!!! I love my boyfriend!!! He's so nice, and wonderful, and thoughtful!!! And when I'm sad, he always cheers me right up!!!! I haven't felt this happy in soooo long!!!!!",7,9,9,9
Where theres a whip theres a way,6,4,2,1
I don't want to grow old. I want to stay the way i am right now forever,5,5,2,1
Thanks everyone for the Bday wishes.  COFFEE!,6,5,6,6
Its hard to understand that the one who hurt you is the one you trusted most...huhuhuhu....sori for me!!!!!!!,4,2,6,8
bad trip...,4,4,1,3
"LMAO, it wasnt my birthday on the 1st ROFFL",5,5,4,4
my siss's bday is coming up!! what do i get her?... oh ik! how bout apair of Jordans?! wait no thats what i want...,5,5,4,6
I'M SO BORED! NUTHINZ ON MY MIND,4,4,5,7
"Wow, <PERSON>, what a jackass.  Seriously?  You doubt evolution and mock the proven facts of the missing links leading to humanity.  You sir are an asshole.  Last time I checked, I haven't actually seen 'God' kickin around my neighborhood lately.  I guess fiction, I'm sorry the bible, is more important than nonfiction these days...",4,2,6,4
"Google won't search for Chuck Norris because it knows you don't find Chuck Norris, he finds you.",5,5,2,1
<3,6,7,1,1
thinks that he might be slightly addicted to FarmVille.  I wonder if there's a 12 step program.,5,5,2,1
Friends are angels who lift us to our feet when our wings have trouble remembering how to fly.......!!<3<3,6,9,4,6
To all my friends who had Restaurant City..Please please gift my friend Donny Chan please..,5,5,2,3
"Be careful who you fall for,you may just be help with the bills.",4,4,2,1
Thanks for all the birthday wishes~~may you all have the same blessing also =P,7,6,5,2
is now 22 years old...,5,5,1,3
is drinking australian <PERSON>to try how it helps under sleepless,5,5,1,1
H1N1 Visits FAFB...How do you feel about it?,5,5,1,3
Porto gonna get gunned by arsenal 2night,5,5,2,3
See those NY Giants tonight! Sure it's pre-season but that defense is going to be nasty this year. Good luck to everyone else,6,6,5,4
I hate going to basketball games. Their so gay.,4,2,2,3
wow today is just crazy maybe a beer and some music to sooth me jangled nerves=),6,6,3,2
i'm sleepy,5,5,1,1
Id ike to thank everybody who came to are wedding me and <PERSON>are both shattered but had a greatday yesterday with all are family and friends.,6,7,4,1
Thanks for all the birthday wishes... love you guys!!!,7,7,7,6
bejeweled blitz!!  =],6,7,5,6
here comes the weekend.... but no plans :(,4,3,3,4
The roof! The roof! the roof of walmart's on fire!......Hahahaha,5,5,6,5
MERRY CHRISTMAS PEEPS,6,5,4,5
I think I am allergic to <PERSON>s house.... having major asthma issues,4,4,2,2
"Loving life! Ready for a fresh start and warm weather in Georgia then off to Lackland (hopefully) to go push flights with one of my closest friends! If life could get any better, my car would me made of chocolate!",7,9,5,5
Be who you are and say what you feel because those who mind don't matter and those who matter don't mind!,6,6,5,5
Baking cookies!! (= I love the 4th,7,7,6,6
UGLY uniforms!!!!!!!!!!!!!!!!! We look as bad as we play.,4,2,9,8
When a guy says ur hott hes lookin at ur bodyy.When a guy says ur pretty hes lookin at ur face.When a guy says ur beautiful hes lookin at ur heart.,6,6,2,1
"if you knew what was on my mind, you'd be begging for a safety room with the jacket that makes u hug yourself!!!",4,4,6,7
it is raining,5,5,1,1
"swim meet today, didn't make it back to finals i sucked but im going to movie so the movies so thats good i guess.:)",6,6,3,2
Midnight In Motion Lyrics Page Complete,5,5,1,1
playing on the mac book.,6,5,1,1
is a lover not a fighter.. but he's a fighter too so don't get any ideas,5,5,2,3
eyelids ....... fight ........ gravity,4,5,1,3
nice day maybe i should do something.........nah,5,5,1,2
"Oh god, i think i'm going to die no computer. :<",4,4,2,3
Consumed by anger.,4,2,1,1
im so good at sleep i can do it with my eyes closedÃ¢â‚¬Å’,5,5,1,1
check out what's new in my profile... give me a buzz... =),6,6,3,3
today MAHA SHIVRATRI trust him and pray to him his blessings will shower like a rain......OM NAMASHIVAYA,6,6,5,4
Well i better go. Bye,5,5,1,3
Dang you cornsuckers... DANG YOU!!!,4,4,6,8
....What it look like......lol.....,5,5,2,3
"My father once told me, We are always dying",4,3,2,1
"liver,bacon,onions mash and gravy mmmm",6,6,2,2
"is in Palm Coast, Florida :)",6,6,3,2
"..is moonwalkn on water, wit bricks tied around his kicks.",5,5,2,3
"not yet done with my APE... having lunch with Dadi Jay in Pepper Lunch, EDSA Shangri-la",5,5,1,1
i finally finished my project!!! . . . but i still got tutor homework ='[,5,4,6,6
Goodnight.,5,5,1,1
"*insert some witty, funny, and/or bitching about my job status message here*",5,5,1,1
Merry Christmas!,7,6,5,4
"is rather sad that <PERSON>,<PERSON>,<PERSON>,<PERSON> and <PERSON>  will be leaving soon!:(",4,3,4,5
What to do? What to do?,5,5,1,3
is very hungover,4,4,1,1
fight tomorow yall needa go be a good fight,5,5,2,3
this week went by too slow =/ finnaly FRIDAY tomorrow WHOOP WHOOP here i come KNOTTS! =D,6,7,6,7
thinks Avatar rox,6,5,2,1
"My sweet boy is at the Vet today to have blood drawn to check his medication levels.  He had a seizure late Sunday night and they have to see if his medication needs to be increased.  Poor guy, but at least he was excited to go to the Vet!!! :-)",6,6,5,6
"Life has handed me a fare share of lemons. I have decided to make grape juice with them, then stand back and watch everyone wonder how the hell I did it.. :)c",6,7,2,3
so excited... getting hibachi later!!!,7,6,7,7
thinks it's weird that Facebook deleted half of his wall...,5,4,2,3
well scouts went okay there were only maybe 5 or 6 boys that showed up.  Weather here is awful. I dodged no less than 5 downed trees on the way home.  So proud of mark he picked up knot tying really quick.  some of the adults were scratching their heads and mark picked it up in a snap.  Tonight he did a square knot and  a bolan (spelling?)  Knot.   AWESOME!,6,6,6,6
feels like I woke up in a different apartment...,5,5,1,3
Is drowning in work =(,4,3,1,2
"Ã¢â‚¬Å“We are ready to get this done today but there has to be movement on all sides to recognize that it is better for us to act than to talk. Better for us to choose action over inaction; the future over the past. With courage and faith, I believe that we can meet our responsibilities to our people, and to the planet.Ã¢â‚¬Â-the President",5,6,2,3
"...,friends make a person how to lived..but love make it something special..both of them are important..but one of them causes pain..sometimes..both of them cause it..T_T",4,4,1,3
LOST 20lbs JUST NEED TO LOSE 40 MORE,5,6,4,3
"Ohhh, bored.. Someone should see if I can hang out with them...",5,4,2,3
"Some say the world will end in fire, Some say in ice. From what I've tasted of desire I hold with those who favor fire. But if it had to perish twice, I think I know enough of hate To know that for destruction ice Is also great And would suffice.",5,4,2,1
whats going on today? its 11 am and im already bored. Hit me up,5,4,2,1
Thanks for the b-day wishes to all,6,5,2,1
now dread free,6,5,1,1
"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth",5,5,1,1
Wow!first day of scol,5,5,3,5
"Before you criticize someone,	 you should walk a mile in their shoes. That way, when you criticize 	them, you're a mile away and you have their shoes.",5,5,2,1
nite nite my sweet fb nite owls!,6,6,4,5
wish u all merry cristhmas and happy new year,6,5,2,1
"so we got to elkins high school late, had to set up with all the middle school already there, played a good concert, waited around for about a half an hour, played another one, went to walmart, got free food, went back, packed up, and went home, it was a looonnnggggg day!!!!! :D",6,7,7,7
needs a pair of nice heels/boots... hmm,5,5,1,3
Merry Christmas to all and to all a good night!,6,6,5,5
is wanting to go white-water rafting this summer in Colorado! Who wants to join me for some fun?,6,6,5,4
missing my girls!!!!,4,4,7,6
Giving in to nostalgia,5,5,2,1
"there's quite a heavy bit on my mind these days. But in due time, it will all come together. In the meantime, yes folks...Miss King is living like she's dying. My mother recently told me whatever makes u happy, do it today cuz tomorrow may not come for u.",6,5,2,3
can't wait to kick ass at kickboxing tonight!,6,6,6,5
I am getting ready to go out in the real world and cut me some trees..... can someone please ask someone in charge to pay the heat bill?  it's a little chilly!!!!,5,4,6,6
"goal number 1, graduate school and get a job:CHECK been there done that. Goal number 2, become fluent in spanish and star in a spanish soap opera: in progress",5,5,2,1
Watching Lost Boys and being all mopey.....,5,4,2,2
"Listening to Judas Priest, drinking Jameson whiskey, and updating facebook.",5,5,1,1
"Had fun spending time with my sister and my beautiful neice last night! I bet Jessie is going through withdrawals now though, since I found her phone in my van after getting back home from dropping her and Alyssa off @ their house...",6,7,4,4
JST WANT MY BED,5,5,3,5
Thank you all for the birthday wishes!!!,6,6,6,6
"Please hold, your status messages are important to me.",5,5,2,1
its funny when she feels like shes the only one thats fighting to fix things when ive given up everything and done everything shes asked no questions and no arguements and still im reminded that after everything im still not making a difference,5,2,2,3
:) Matthew from Kings of Leon wave hi to me on friday nite of the concert... Yeey I love them so much.... hehe :),6,7,4,4
Excited for the weather this week. I am so ready for winter to be over!,6,6,5,5
HEHEHEHAHAHA lol. Just got my new carrr!!!  So excited!!,6,7,6,8
People change I guess... Things they couldn't do before they can do now... Not because of you but because of others... Just because you're happy for them doesn't mean you can't be a little hurt because you've been left behind... Forgotten :(,4,2,2,3
Wow,5,5,1,2
live today,5,5,1,1
had a blast at the suns game! thank you <PERSON>!,7,7,5,5
"My idea of fun...is killing everyone!\\""""",4,3,5,5
"Just got my aftercare call from my tattoo artist. Awww, he even asked about my car, too kind! Tattoo is fine, car is still sick but at the Dr's. (Deep Breath) Favor Lord? More More More Favor",6,5,3,3
"boooooooooooooooooooooooored, what the faaaaaack",4,4,2,4
gudnyt guys.. gudmurning na rin..,5,5,1,2
<PERSON> is kicking my boogie on call of duty! Yikes!,4,5,6,5
thank you for all the birthday wishes! i love you all<3,7,8,6,5
I just scored 217488 in Mega Jump!!! Beat that! <URL>,6,5,6,7
"I hate living in a society where torturing one animal is cruelty, but torturing many animals is science.",4,2,2,3
Heard blues by the bay from my house... Did a ton of laundry. Did a dump run.. And went to my moms and stacked wood. Now i'm helping fold 10baskets of cloth.,5,5,1,1
thanks everyone for the birthday greetings,6,5,2,1
My stomach was making the rumblies        <PERSON>     That only hand would satisfy,5,5,1,1
Ã¢â„¢Â¥ YouÃ‚Â´re better then the best... IÃ‚Â´m lucky just to linger in your life.. Cooler than the flip side of my pillow thatÃ‚Â´s right.. Ã¢â„¢Â¥,6,8,2,2
trevwon't go too bed,4,5,1,1
One more week till we move to jersey! Bitter sweet,5,6,5,5
I'll add more later.,5,5,1,1
how fast time passed:-((((((,4,3,1,2
oh so tirrred.. to behave? or not to behave........,5,5,1,2
Thanks to all for my birthday wishesssssss,7,5,4,3
"Totally psyched! Just registered for the Wedding Planners Institute of CanadaÃ¢â‚¬â„¢s June 26th & 27th, 2010 course!",6,6,6,5
Huhuuh :( skool holidays is ending soon! So soon!,4,3,5,5
every one press up up down down left right left right B A enter up down then circles will appear on your facebook page to get them off refresh page,5,5,1,1
makaboring!!!! work na2man,5,5,6,7
ya,5,5,1,2
wants to thank all her buddies for the birthday wishes. thank you all.,7,5,3,1
"<PERSON>, Anthropologist",5,5,1,1
Fell asleep way too early dude now im up!,5,5,4,4
"Tombstone head and a graveyard mind, Just 22 and I don't mind dying",4,3,2,1
i only want positive news on fb from now on everybody cheer up,6,5,1,3
"There are as many nights as        days, and the one is just as long as the other in the year's course.        Even a happy life cannot be without a measure of darkness, and the word        'happy' would lose its meaning if it were not balanced by sadness..",4,6,1,1
thinks its time that she starts designing 'Man'...!!,6,5,4,5
"Well facebook friends and family, I had a wonderful Christmas!!!! I hope u all had a great holiday as well. This year I didnt have to help my son open any presents and it was soooo exciting watching him get sooooo excited about each gift. AWESOME!!!!!",7,7,8,9
PISS N LOVE,5,5,4,5
is all packed to go to France tonight!  Woohoo!,6,6,5,6
Finished positive-and-negative decimal-to-binary converter. Just realized how simple this is...,5,5,1,2
babysitting<3,6,6,1,1
i wasn't the son my father wanted,2,1,1,1
Love is a kind of torment as a lover should endure,5,5,2,1
If we dont fight for what we believe in what would be the point of living? Use your voice and stand up for something!,6,6,5,5
"Well i hope this is it, Congrats to <PERSON> on her new baby boy, finally he's here! :)",6,7,6,5
Is addled due to his ''sweet tooth'' and wishes the ants were here. *_*,5,4,3,2
who hates me thumbs up?,5,3,2,1
"If I'm not rollin' like a rockslide, I'm layin' in da cut like peroxide!",5,5,4,5
hahaha. . . I spam my own page. . .,5,5,2,3
wow! i absolutly live in a house w/damn fools  i got one on the for talkin to me on the phone and she aint even related idr y she was i got one in the room screamin bitchin for that reason she was phone then i got one damn that aint nobody listen to askin who i'm on the phone with no yo damn bidness god! what am i gon do and i'm still half awake,4,1,5,5
"Quotes from tiffs b-day...OMG! My pants have gone AWOL!... Why does it feel like someone pissed on me! Are those special brownies! Made with happieness! There's no point... It's dead, there's no point ( bliss laughing maniacally)",5,5,5,6
"doesn't feel well at all =( ..sick to my stomach, dizzy, light headed..maybe a nap will help, i hope.",3,2,2,3
I'm kinda sad I keep missing episodes of America The Story of Us on the History Channel. It's truly a Greek tragedy.,4,4,2,1
@Cardiff,5,5,1,1
"Got off work 1 and a half hours ago, half a bottle of vodka down, thanks sean for passing out after you made me drink this delicious poison, looks like its 2008 all over again, a bottle of vodka and I alone once again.... oh lover how i've missed you.... ;)",6,6,2,3
Heading to the gym...need to get my sorry a$$ back in shape!!,5,4,6,6
Busy day tomorrow should probably start my homework,5,5,1,1
I am a nutjobbbbbbbbbbbbbbbbbbbbbb,4,4,4,4
can't wait to see daragon carson this saturday,6,6,1,2
I'm getting ready to cook supper. On the menu tonight... Parmesan Crusted Chicken with Fettuccine and Alfredo Sauce.,5,5,1,2
"Let's see who is paying attention. Every single one of you are on my friends list, as a result of a conscious decision. I wanted you there! I am not only glad to count you as friends, but also as family. Let's see who on my friends' list actually pays attention. Copy and paste this as .........your......status.... I'll be watching to see who repost and comments.",5,7,1,3
Just got my DREMEL! Thanks to Riz Kid. I'mma be  killen' the jewelrey now dude.,6,6,5,6
so does anybody know anything about the haunted house in Alpharetta that will give you 1000 dollars if you make it to the top floor? it's 13 stories,5,5,1,1
Am I the only one who thinks valentines day isn't that bad?,5,5,2,2
"sooo tired, I love my bed",5,6,1,2
"Welcome to my rodeo, hold on to meee. Baby I will take it slow. How you ride is the key..you know we're gonna left, right, front back and ohhhh that just aint enough..I can take you everywhere, all around the world. I like how you do it. Just put it in reverse cowgirl. Just put your hands in the air, wave em round and go yeeeeeeee hawwwwww!",6,5,4,6
Going to watch Unstoppable...Harry Potter can wait but I want Harry Potter better :(,4,4,2,2
Another great ole night at taco bell,6,6,1,1
cs61a blows my mind every week.,5,5,1,1
When you hear the banjo music....that means run.,5,5,2,3
would like to thank all of you who wished me a happy birthday today!,7,6,5,5
"There is no instance of a country having benifited from prolonged warfare.\ - Sun Tzu\""""",5,5,1,1
i like it on the kitchen counter,5,5,1,1
Awww Mann...,5,4,1,3
YAY! Got in the classes I need!,6,7,5,5
"I was signed up for four classes and paid for them all on time, but for some reason when I go to My Class Schedule on hawknet, it says I only have two classes. Is this happening to anybody else?",4,5,3,1
what would it take for things to be quiet? Quiet like the snow. xD,5,6,2,3
won 20 dollars from a 1 dollar lottery ticket and I plan to use it for food.,6,5,1,1
Thank you all for wishing me a happy birthday.,7,5,2,1
"the REAL lyrics of the chorus to DYNAMITE, i throw my skittles in the air sometimes saying he yo! taste the rainbow",5,5,4,1
If the facts don't fit the theory,5,5,1,1
Makin garlic bread for dinner... Yummm :3 <-suchahippie<3->,7,6,2,4
"Anyone who knows someone who has had cancer, should check this documentary out, very interesting. Its called The Beautiful Truth\. 		<URL>""""",5,5,1,1
Things are starting to look up... :),7,7,2,4
TIME IS ART,5,5,2,5
"I dont do drugs, I just take medication!!!",5,5,6,7
Did you know... the bird is the word!!!!!,5,5,7,8
boycott <PERSON> for she needs her sleep to get through her high fever.,4,5,2,1
We're back in Sydney!!! Soooo good to see our fam. Still plenty more people that we miss to see!!,6,7,6,7
"ugh, i dnt wanna go to class tonight!!!!!!!!",4,4,8,9
me sore everywhere T____T,4,4,1,3
I love Daniel with aaaaaaaaaaalllllllllllll of my heart :):):) Love<PERSON> xxxxx,8,8,5,5
"Thanks everyone for the birthday messages.  It means a lot, but a lot of money would mean even more.  So send me money.  I will accept cash, check, credit card (only Master Card), and gold.",6,5,3,1
wtf??? Wagner??? go home!!!!,4,4,6,8
Wish i was still in Portugal It was animal Defo goin next year,5,5,2,1
The sweet asphyxiation and dismemberment. Sex puts me in the mood to make you die. Obsessive hands gently grab your neck. Look into sick eyes... I hate people,4,1,2,3
great birthday-great friends-i'm such a lucky girl---zoo today!,7,8,5,5
..................................................:P,5,6,1,5
happy birthday lolo nonito!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,7,6,7,9
the lady you order food from 525 is rude as fuck wat a bitch,3,2,4,1
grr...I hate being sick!,4,3,6,5
"Shout Out To Melpo !! Love The 4X0T308Look , You FULLY Rock =P Cyaaz In English !!",7,8,7,6
crna :),6,6,1,3
It's a sad day in Patriots land today. I Guess that's what I get for talking so much smack.,4,4,2,1
is it too early to be relaxing sipping on a long neck CORONA? *hick* : ),6,6,2,4
i tried to do farm pals but i need to download adobe flash player and that wont work on my computor =(,4,4,2,3
2010 blink and you will miss it its flying along time machine anyone.....,5,5,1,3
2 days til I'm back in the US baby!,7,6,5,5
"The worst way to miss someone is 		when they are right beside you and yet you know you can never have them.\\""""",3,2,2,1
Getting bored of facebook.............. x_______x,4,4,1,4
thank you to whoever it was that sent the roses from Malaysia...there was no name so im just saying a general thank you to everyone....pics will be up soon....xox,6,6,2,3
fixin 2 go crazy blaaaaaaaaaa i just did bamaboyz 4 life,5,5,3,2
not feeling well... @_@,4,4,1,3
R.I.P.<PERSON>,4,5,1,1
i'm not dirty as yo think I am!,5,5,5,5
Blank,5,5,1,1
This friday is my sons last set of chemo!Thank God!!,7,7,6,6
Unlimited Rage.,4,3,1,1
"I don't know where it's all coming from-this barrage of fantastical thoughts-but I only have 10,000 more to go! Agh! *whispers* Seven days....",5,5,4,6
Had a really nice day :),7,8,1,3
thanks everyone,6,5,1,1
"In thirty seconds you'll be dead, and I'll blow this place up and be home in time for Corn Flakes.",4,5,1,1
Transfers this week....,5,5,1,3
I like Artest.,5,5,1,1
"If you need to check for a pulse, then you haven't killed them!!!",4,5,6,7
"the wolves, they howl for my lost soul...",4,3,1,3
"What's on your mind?September is cancer month. In memory of every cancer patient, family member and friend that lost their battle with cancer and in honor of those who continue to conquer it! Put this up for 1 hour if you love someone who has or had cancer. Many won't copy and paste I did, will you?",5,6,3,5
"Recuperating after LASIK..  My day has been filled with naps, eye drops, and more naps! =D",6,7,4,5
Love is the capacity to take care,6,5,1,1
Should I put better pics of myself up on fb or take off pics from my album...thoughts?,5,5,2,3
You call can now call me.... The Weedman!!!!!,5,5,6,7
"Aglow from all the possibilities ahead of me. Now, how to make them happen...hmmm...",5,7,1,3
life is beautiful,7,9,1,1
"Imvu(many things to do ,) ) <URL>",5,6,1,3
"Well, I am FINALLY back from my mission, and... well, .... like most returned missionaries, I am wondering what has happened to all my friends and aquantances.  Absolutely EVERYONE is on facebook (in fact, I think it is taking over the world), and so I figured I could join in and find everyone.",5,5,3,3
"is extremely excited, I fly out Dec. 7 at noon.",6,5,1,1
finding a job. and gettin back on ma feet,6,5,2,1
...went driving today....almost died ! ps. jess is shaving my legs as we speak :),5,6,4,5
"3 Feb 2010,Today I a bit sick.<PERSON>ask me to go to general office,sickbay to rest.After 1 hour,I return to his lesson.",5,5,2,1
When did adults forget how to talk to when another? Now they just talk to each others lawyers??!!,4,3,5,6
is tired of homework...spring break feels about as real as santa clause. (and no there is no such person),4,3,2,3
just got my braces put on,5,5,1,1
Who is looking forward to the big Arthur's Day tomorrow?,6,5,2,1
Is very thankful that it is over!! Thanks to everyone that came to the wedding,7,6,5,5
"Started blogging, now let's try and keep it up!",6,5,5,5
Fuck the fire alarm. . . !,4,4,4,6
sleeps better on the cold nights...Algernon doesn't wake up as much...?,5,5,1,3
Why won't this semester just end??,4,4,2,4
"Please copy and paste this to your status if you know someone, or have been affected by someone, who needs a smack upside the head. People who need a smack upside the head affect the lives of many. There is still no known cure for someone who deserves a smack upside the head, except a smack upside the head,... but we can raise awareness. Many won't copy and paste this. I did. Will you?",5,5,1,3
"octopus prediction  spain will win the cup\\""""",5,5,1,1
whatta day!! lost my blue slip and my tickler. huhu.. now my salary is endangered as well as my board exam. ....slowly losing my mind... and the week is just starting.,4,2,5,4
"olivia and I have never laughed so hard while reading Peter Piper. After her fourth of fifth attempt to get through the whole thing she said, Peter Piper picked a peck of pickled peckers.....\ she has no idea why that's funny""",6,5,4,2
just woke up from a deep sleep. time to eat some cereal yo,5,5,2,1
"Men judge generally more by the eye than by the hand, for everyone can see and few can feel. Everyone sees what you appear to be, few really know what you are. -<PERSON>",5,5,1,1
Thank you everyone for the birthday wishes!  I had a great day!,7,7,5,5
Do it in the woods!,5,5,4,5
Blah.  I think I have the andromeda strain.,4,4,1,2
"If You live to be a Hundred years, I want to live to be a Hundred minus one Day so that I never have to live without you. LOVE<PERSON>! :)",6,8,5,5
"God is not a man, so	he does not lie.	He is not human, so	he does not change	his mind.	Has he ever spoken and	failed to act?	Has he ever promised	and not carried it	through?",5,5,2,1
i'm soo bored :(,4,3,1,4
"I am going to be without the internet for an indefinite amount of time, I don't have a mobile either so if anyone needs to contact me please use smoke signals. ty",5,5,2,1
"Well, here is to all of my family and friends, I hope that this summer brings only the best, even if the road gets a little bumpy, hold on, time will heal all..",6,7,3,2
rabbit! tomorrow,5,6,5,5
p.p.s not for the feint hearted,4,5,1,1
School is about to start!,5,5,5,5
Writing about an idea frees me of it - <PERSON>,5,5,1,1
you'd make your way in...i'd resist you just like this. YOU CAN'T TELL ME TO FEEL.,4,4,4,5
OH Sweet Victory. Beautiful win tonight 49ers.,7,7,2,2
is waiting for one more week to go by and be back in Murray.,5,5,1,1
a lot of people find themselves trapped in something that they've outgrown and are unhappy.. and they dont know how to get out of it because they think that they're supposed to make it happen..,6,2,2,3
On to the next one...,5,5,1,3
Skol Vikings,5,5,1,5
you just killing me inside,3,2,1,1
"really wants to see the movie year one\ - is okay too""",5,5,1,1
has been a subject to a lot of policy routing on the way home due to flooding caused by a heavy rain. Policy routing was implemented by cars with blinking blue lights standing 90 degrees to the direction of the road.,5,5,1,1
holy wind from hell Batman! where's the damn rain? the dirt is blowing in my eyes.,4,5,5,6
"Carriere Woman Faces Federal Tax Charges<PERSON> Accused Of Preparing False Tax Return March 4, 2010 GULFPORT, Miss. <PERSON> County woman is facing federal charges for helping prepare a false tax return for two individuals.<PERSON>, of Carriere, pleaded not guilty Wednesday to one count of aiding and assisting in the preparation of a false 2005 tax return.",5,5,1,1
her brithday is tomarro and i can't even talk to her,4,3,3,1
"Yay, we're heading to Sedona tonight ;)",6,7,4,3
"274267 Shinobi Shozoku\ set925678 \""Garb of the Great Merchant\"" set437626 \""Armament of Germania\"" set373624 \""Armament of Gaul\"" set\""""",5,5,1,1
"A pessimist sees the difficulty in every opportunity, an optimist sees the oportunity in every difficulty",7,6,1,2
having a bonfire & roasting smores...then gonna play chubby bunny,6,5,2,2
Relationships are like glass. Sometimes its better to lev them broken than try to hurt yourself putting it back together,4,4,1,1
Loving the lord. Had a great time at church. Spirit was really moving. Praising the lord is the best thing ever.,6,7,1,3
I wasn't a hockey fan but last night was at the Sharks game and it was off the hook! Had sick seats and now a fan!,6,7,5,5
jus chillin i came in second in da 400 and third n da 100 at the purple vs silver track meet today im gettin close 2 pro status,6,6,2,2
Ã¢â‚¬Å“You have indeed in the Messenger of Allah (swt) a beautiful pattern (of conduct)Ã¢â‚¬Â¦ (33:21),5,5,1,1
just found out that our tax return was rejected for one reason or another....<sigh>,4,4,2,3
Two words.  <PERSON> is one of the sickest players around....period.....ok so that was more than two words....don't judge me..,5,5,2,3
HEAR YE HEAR YE...Mistress Stephanie at the Chain Drive tomorrow night at 10 and at the Beauty Bar this Friday at 7:00.  Do come.,5,5,2,4
NOBEL PRIZE IS NOT GIVEN FOR MATHS MATHS.YOU KNOW WHY????????????? reply the answer . HURRY!!,5,5,6,9
Today is paintball day time for more pics and pain,5,5,1,1
is hopeful with this home investment plan. :),6,7,2,2
"You and I wake up in a police cell together. Using only 4 words, what would you say to me? Note: If you comment, you must copy and paste this to your status, so I may comment on yours as well.. Be a good sport and play along... 4 words is harder than you think",5,5,2,3
limpezas day...,5,5,1,2
so i loving living in florence only because i hear it is like 100 every were else and it is so nice and cool here i can go out in shorts and be just fine :) :) love and miss everyone,7,8,2,3
is excited to see Bec and the kiddos. To much to do today though.,6,6,3,1
"Fairmont snowboard trip, fernie tomorrow. Woo hop!!",6,7,6,6
Well...  birthday is over but vacation starts tomorrow.,6,6,1,3
